ra,dec,sp_type,flux
159.51100985302,-57.25630270791,"B3IV",5.876
16.520997989851963,-46.71841069311463,"G8III",3.3
125.00219802259001,-71.50537824201,"B9/A0IV",5.608
15.704957052740001,-46.39730926945,"G8III",5.387
164.28269561121,-50.76501688632,"A4V",5.898
159.82663558023043,-55.603267978415836,"G5IIa",4.267
115.45524596810628,-72.60609911449887,"G9IIIb",3.944
166.13000375237,-47.679104338319995,"A8III/IV",5.668
39.897340197639586,-68.26694668466418,"B9Va",4.096
51.40105322285001,-69.33643439274,"F5V",5.946
147.73159317525,-62.745117066549994,"K1IIICNII",5.56
142.12722044984,-66.70187828277,"A0V",5.886
135.28547503217,-68.68391931951,"M1III",5.87
152.94358165134,-58.060544086789996,"B5Vne",5.75
154.90313630390168,-55.02930532998111,"K2.5II",4.543
156.7038394767,-54.87730634236,"K3II/III",5.546
161.69239624144333,-49.420259938983605,"G6III",2.69
44.69915159969,-64.07128716789,"A3/5III(m)",4.969
26.52609583282,-53.52203570208,"A1V",5.033
22.81293372607833,-49.07270281348056,"G8.5IIIb",3.935
36.224624916020005,-60.31194805567001,"F2II/III",5.355
42.25619705806,-62.8065219516,"A2V",5.253
41.36448967439,-63.70455345717,"G8III/IV",5.743
70.76651768172,-70.93102624174,"B8II/III(pSi)",5.511
75.67915861723,-71.3142991719,"G8III",5.294
132.64506724154,-66.79298305819,"F5IV",5.329
135.61165018301915,-66.39607456495057,"kA3hA5mA5V",3.99
137.81967506322877,-62.31697773412389,"B3V",3.943
140.23672112808,-62.40463362653,"G6III",4.8
147.80031422088,-59.42577680110999,"K2IIICNIV/Vp",5.778
102.86243819417,-70.96341039675,"B7III",5.395
144.8375470052871,-61.32804977268306,"B9IV/V",4.498
145.17734272581,-57.983509247490005,"A3IV",5.307
143.61104506125,-59.229751953055555,"B5II",4.09
158.23691997653,-47.00335120998,"K1/2III",5.027
159.32562683256418,-48.225666185895,"kA5hF0VpSr",3.84
34.976131442059994,-55.94479699168,"K5III",5.794
56.04992267531208,-64.80691413207694,"K2-IIIb",3.833
